Price,Close,High,Low,Open,Volume
Ticker,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR
Date,,,,,
2024-06-16,61759.7109375,61956.76171875,61461.859375,61558.48046875,13175889209
2024-06-17,62264.92578125,62487.20703125,61598.52734375,61758.1796875,12409379757
2024-06-18,61908.9140625,62610.0390625,60744.66796875,62262.5625,27938826633
2024-06-19,60660.36328125,61970.7421875,59664.01953125,61909.55078125,36765763102
2024-06-20,60443.9296875,61182.7421875,60207.53515625,60665.87109375,19636207985
2024-06-21,60553.01171875,61926.03125,60270.00390625,60443.9296875,23950001054
2024-06-22,59947.828125,60688.703125,59304.8359375,60561.7265625,24493247076
2024-06-23,60091.26171875,60299.71484375,59792.16015625,59964.3515625,9219732548
2024-06-24,59114.23046875,60314.8984375,59114.23046875,60087.87890625,10451495555
2024-06-25,56164.6875,59203.0703125,54586.4296875,59107.26171875,40207863572
2024-06-26,57710.82421875,58101.52734375,56129.58984375,56154.31640625,27266985323
2024-06-27,56937.78125,58260.4140625,56849.78125,57696.8515625,21072438187
2024-06-28,57532.41796875,58109.39453125,56659.9453125,56937.734375,19828220539
2024-06-29,56267.890625,58133.25390625,56002.79296875,57539.890625,23276558233
2024-06-30,56797.02734375,56993.14453125,56250.0078125,56267.64453125,11802893999
2024-07-01,58385.76953125,58574.41796875,56563.20703125,56798.01953125,16146160398
2024-07-02,58539.70703125,59454.21484375,58108.07421875,58381.40625,23720993909
2024-07-03,57711.17578125,58897.37890625,57532.44140625,58532.65625,18748862933
2024-07-04,55762.2734375,57848.8671875,55096.44921875,57716.12109375,27575089101
2024-07-05,52705.5703125,55970.56640625,52577.32421875,55737.44921875,38064252679
2024-07-06,52236.25,53154.91015625,49641.9453125,52747.296875,51088657999
2024-07-07,53783.08984375,53938.99609375,51661.53515625,52233.20703125,19012340592
2024-07-08,51588.046875,53845.43359375,51533.50390625,53723.953125,18985220388
2024-07-09,52355.875,53641.796875,50180.12890625,51588.4765625,36716135201
2024-07-10,53638.984375,53868.984375,51992.19140625,52355.41015625,25751413876
2024-07-11,53304.8671875,54865.390625,52794.48828125,53661.78515625,24163639404
